;;C's;EH Bildu;EAJ-PNV;PP;PSOE;PODEMOS;GBAI;CCa-PNC;IU-UPeC;MÉS;DL;PODEMOS-COMPROMÍS;NÓS;EN COMÚ;PODEMOS-En Marea-ANOVA-EU;ERC-CATSI
Murcia, Región de;;14.0466666667;;;41.6944444444;25.5324444444;13.2362222222;;;2.91733333333;;;;;;;
;Murcia;14.0466666667;;;41.6944444444;25.5324444444;13.2362222222;;;2.91733333333;;;;;;;
Navarra, Comunidad Foral de;;4.96106617647;14.6590441176;;29.61375;13.3118014706;19.3658823529;11.6512132353;;3.43580882353;;;;;;;
;Navarra;4.96106617647;14.6590441176;;29.61375;13.3118014706;19.3658823529;11.6512132353;;3.43580882353;;;;;;;
País Vasco;;2.3538247012;27.8657768924;32.1119920319;7.09948207171;7.09848605578;19.7784063745;;;1.75673306773;;;;;;;
;Araba/Álava;4.52156862745;16.0198039216;26.1294117647;17.5160784314;9.17235294118;21.5360784314;;;2.66607843137;;;;;;;
;Gipuzkoa;1.65920454545;37.12;28.1667045455;3.725;6.73954545455;19.2110227273;;;1.63102272727;;;;;;;
;Bizkaia;1.9125;25.98875;37.9360714286;5.00758928571;6.43616071429;19.4238392857;;;1.44142857143;;;;;;;
Rioja, La;;9.64362068966;;;48.3591954023;25.1322988506;11.6598850575;;;3.01477011494;;;;;;;
;Rioja, La;9.64362068966;;;48.3591954023;25.1322988506;11.6598850575;;;3.01477011494;;;;;;;
Ceuta;;13.29;;;44.89;23.07;14.06;;;1.3;;;;;;;
;Ceuta;13.29;;;44.89;23.07;14.06;;;1.3;;;;;;;
Melilla;;15.55;;;43.93;24.59;11.44;;;1.29;;;;;;;
;Melilla;15.55;;;43.93;24.59;11.44;;;1.29;;;;;;;
